Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,20000.0,20000.0,Low,0.0,undergraduate,Banking,Other
Government,56900.0,56900.0,Medium,0.0,other,Government General,Other
Government,40800.0,40800.0,Medium,0.0,diploma,PSU,Engineer
Government,30000.0,30000.0,Medium,0.0,postgraduate,Judiciary,Other
Government,67390.0,67390.0,Medium,0.0,other,Government General,Other
Government,29200.0,92300.0,Low,63100.0,undergraduate,PSU,Other
Government,63200.0,63200.0,Medium,0.0,school_level,Education,Other
Government,,,,,undergraduate,Government Admin,Academic
Government,194660.0,194660.0,Very High,0.0,undergraduate,Judiciary,Other
Government,150000.0,150000.0,Very High,0.0,other,PSU,Managerial
Government,,,,,undergraduate,Government Admin,Managerial
Government,16000.0,16000.0,Low,0.0,undergraduate,Government General,Other
Government,,,,,undergraduate,Government General,Medical
Government,,,,,undergraduate,Banking,Managerial
Government,112400.0,112400.0,High,0.0,undergraduate,Education,Assistant
Government,7700.0,8050.0,Low,350.0,diploma,Energy,Entry Level
Government,,,,,school_level,Government General,Other
Government,36000.0,36000.0,Medium,0.0,undergraduate,Education,Managerial
Government,115800.0,115800.0,High,0.0,undergraduate,PSU,Engineer
Government,42000.0,42000.0,Medium,0.0,undergraduate,Government General,Associate
Government,,,,,diploma,Education,Assistant
Government,,,,,undergraduate,Education,Research
Government,92300.0,92300.0,High,0.0,school_level,Government Admin,Academic
Government,18333.33333333333,18333.33333333333,Low,0.0,diploma,Government General,Managerial
Government,,,,,undergraduate,Government Admin,Academic
Government,,,,,school_level,Government General,Other
Government,35400.0,35400.0,Medium,0.0,undergraduate,Government General,Assistant
Government,67300.0,67300.0,Medium,0.0,diploma,PSU,Other
Government,140000.0,140000.0,High,0.0,undergraduate,PSU,Engineer
Government,18000.0,142400.0,Low,124400.0,other,Government General,Other
Government,95910.0,95910.0,High,0.0,diploma,Government General,Other
Government,28000.0,28000.0,Low,0.0,other,Education,Other
Government,,,,,other,Education,Assistant
Government,25000.0,70000.0,Low,45000.0,undergraduate,Education,Engineer
Government,20000.0,20000.0,Low,0.0,other,Education,Other
Government,25500.0,25500.0,Low,0.0,undergraduate,Judiciary,Other
Government,28425.0,87125.0,Low,58700.0,undergraduate,Banking,Assistant
Government,,,,,undergraduate,Government General,Other
Government,22750.0,22750.0,Low,0.0,diploma,PSU,Other
Government,,,,,undergraduate,Education,Other
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Research
Government,30000.0,30000.0,Medium,0.0,undergraduate,Government General,Other
Government,40000.0,40000.0,Medium,0.0,undergraduate,Banking,Other
Government,25090.0,25090.0,Low,0.0,other,Education,Research
Government,21700.0,21700.0,Low,0.0,school_level,Government General,Other
Government,,,,,school_level,Government Admin,Assistant
Government,17000.0,17000.0,Low,0.0,school_level,Education,Other
Government,,,,,other,Education,Research
Government,50925.0,96765.0,Medium,45840.0,postgraduate,Government General,Officer
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Research
Government,,,,,undergraduate,Education,Research
Government,60000.0,180000.0,Medium,120000.0,other,Government General,Medical
Government,18000.0,18000.0,Low,0.0,undergraduate,Education,Assistant
Government,26000.0,35000.0,Low,9000.0,other,Education,Associate
Government,31000.0,31000.0,Medium,0.0,postgraduate,Education,Research
Government,37000.0,37000.0,Medium,0.0,undergraduate,Government General,Other
Government,20000.0,35000.0,Low,15000.0,undergraduate,Education,Engineer
Government,56100.0,56100.0,Medium,0.0,other,Healthcare,Other
Government,15600.0,39100.0,Low,23500.0,undergraduate,Government Admin,Engineer
Government,,,,,doctorate,Education,Academic
Government,5000.0,5000.0,Low,0.0,undergraduate,Education,Other
Government,23800.0,35000.0,Low,11200.0,undergraduate,Technical/Research,Assistant
Government,,,,,school_level,Government General,Other
Government,21800.0,21800.0,Low,0.0,other,Education,Other
Government,70000.0,70000.0,High,0.0,postgraduate,Government General,Officer
Government,20000.0,20000.0,Low,0.0,undergraduate,Education,Assistant
Government,37000.0,37000.0,Medium,0.0,postgraduate,Education,Research
Government,120000.0,280000.0,High,160000.0,undergraduate,Government General,Managerial
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Research
Government,,,,,other,Government General,Other
Government,44900.0,142400.0,Medium,97500.0,undergraduate,Healthcare,Officer
Government,,,,,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Education,Engineer
Government,31000.0,31000.0,Medium,0.0,other,Education,Research
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Engineer
Government,,,,,undergraduate,Education,Research
Government,,,,,undergraduate,Government Admin,Officer
Government,,,,,postgraduate,Education,Assistant
Government,,,,,undergraduate,Government General,Assistant
Government,78800.0,209200.0,High,130400.0,undergraduate,Government General,Managerial
Government,,,,,other,Government General,Academic
Government,,,,,undergraduate,Government Admin,Managerial
Government,,,,,other,Education,Other
Government,,,,,other,Education,Research
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,diploma,Technical/Research,Other
Government,,,,,diploma,Government General,Managerial
Government,,,,,undergraduate,PSU,Other
Government,,,,,doctorate,Education,Research
Government,,,,,undergraduate,Government General,Other
Government,,,,,diploma,Government General,Entry Level
Government,,,,,undergraduate,Government Admin,Other
Government,150000.0,150000.0,Very High,0.0,postgraduate,Government General,Other
