Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,50000.0,50000.0,Medium,0.0,undergraduate,Government General,Other
Government,37000.0,37000.0,Medium,0.0,undergraduate,Technical/Research,Research
Government,,,,,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government General,Other
Government,12300.0,12300.0,Low,0.0,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Education,Assistant
Government,,,,,undergraduate,Banking,Managerial
Government,12500.0,17500.0,Low,5000.0,undergraduate,Government General,Entry Level
Government,25000.0,25000.0,Low,0.0,undergraduate,Banking,Other
Government,9300.0,34800.0,Low,25500.0,undergraduate,Banking,Other
Government,,,,,undergraduate,Banking,Managerial
Government,29400.0,180000.0,Low,150600.0,undergraduate,Government General,Managerial
Government,56100.0,144200.0,Medium,88100.0,undergraduate,PSU,Other
Government,,,,,undergraduate,Banking,Managerial
Government,44900.0,142400.0,Medium,97500.0,undergraduate,Government Admin,Research
Government,,,,,undergraduate,Banking,Officer
Government,56100.0,56100.0,Medium,0.0,postgraduate,Energy,Managerial
Government,,,,,undergraduate,Education,Officer
Government,30000.0,30000.0,Medium,0.0,undergraduate,Judiciary,Assistant
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,PSU,Engineer
Government,55000.0,55000.0,Medium,0.0,undergraduate,Government General,Officer
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Education,Officer
Government,104935.0,104935.0,High,0.0,undergraduate,Education,Other
Government,29735.0,29735.0,Low,0.0,undergraduate,Government General,Assistant
Government,,,,,undergraduate,Energy,Engineer
Government,,,,,undergraduate,Government General,Other
Government,60000.0,60000.0,Medium,0.0,undergraduate,Education,Officer
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Energy,Engineer
Government,22000.0,22000.0,Low,0.0,undergraduate,Banking,Entry Level
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government Admin,Other
Government,35400.0,112400.0,Medium,77000.0,undergraduate,Government Admin,Academic
Government,,,,,undergraduate,Government General,Other
Government,12000.0,13700.0,Low,1700.0,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Government General,Other
Government,5200.0,208700.0,Low,203500.0,undergraduate,Government General,Other
Government,,,,,postgraduate,Government General,Other
Government,,,,,undergraduate,Government General,Other
Government,49600.0,126600.0,Medium,77000.0,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Government General,Other
Government,35400.0,35400.0,Medium,0.0,postgraduate,Education,Other
Government,50000.0,160000.0,Medium,110000.0,undergraduate,PSU,Managerial
Government,,,,,undergraduate,Government Admin,Academic
Government,5000.0,5000.0,Low,0.0,undergraduate,Education,Engineer
Government,15600.0,39100.0,Low,23500.0,postgraduate,Government General,Other
Government,50000.0,250000.0,Medium,200000.0,undergraduate,Government General,Engineer
Government,70000.0,200000.0,High,130000.0,undergraduate,Government General,Managerial
Government,40000.0,40000.0,Medium,0.0,undergraduate,Education,Other
Government,80000.0,220000.0,High,140000.0,postgraduate,PSU,Managerial
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Technical/Research,Entry Level
Government,22000.0,22000.0,Low,0.0,undergraduate,Government General,Managerial
Government,80000.0,100000.0,High,20000.0,undergraduate,Government General,Officer
Government,70000.0,70000.0,High,0.0,postgraduate,Government General,Other
Government,,,,,undergraduate,Government Admin,Academic
Government,23500.0,23500.0,Low,0.0,postgraduate,Government General,Other
